Partner Name,Export,Export Share in Total Products,Export Partner Share (%)
British Indian Ocean Ter.,68178.97,3272.59056,0
Saint Pierre and Miquelon,58215.59,21324.37062,0
Tokelau,51951.73,6083.547583,0
Norfolk Island,49686.55,10061.52638,0
Nauru,46999.06,10687.58624,0
Saint Helena,45634.99,14927.20523,0
Fr. So. Ant. Tr,44448.9,6342.85803,0
Wallis and Futura Isl.,36625.75,8423.9225,0
Antarctica,33493.08,6159.377412,0
Christmas Island,31854.84,4994.838912,0
Niue,23680.83,5309.242086,0
Montserrat,17780.84,3159.655268,0
United States Minor Outlying I,17590.54,1148.662262,0
Cocos (Keeling) Islands,9589.46,803.596748,0
Pitcairn,4505.97,123.914175,0
Bouvet Island,1300.89,7.154895,0
South Georgia and the South Sa,1198.5,5.63295,0
